,round,day,date,local_time,home_team,home_score,away_score,away_team,attendance,stadium,latitude,longitude,playoff,att_div_capacity,real_home_team,same_conf,rivals,temperature,rain,snow,cloudcover,windspeed,windgust,rain_sum,snow_sum,date_year,date_month,date_day,home_opener
0,Regular Season,Sat,2018-03-03,13.0,27,0,2,6,26633,BMO Field,43.63,-79.42,0,0.8877666666666667,1,1,1,27.8,0.0,0.0,1.0,21.6,42.5,0.0,0.0,2018,3,3,1
1,Regular Season,Sat,2018-03-03,14.5,9,4,0,0,20377,BBVA Compass Stadium,29.75,-95.35,0,0.9245882299559872,1,0,0,55.8,0.0,0.0,40.0,13.6,23.4,0.0,0.0,2018,3,3,1
2,Regular Season,Sun,2018-03-04,14.0,24,0,1,11,40070,CenturyLink Field,47.6,-122.33,0,1.016514878611837,1,1,0,30.0,0.0,0.0,27.0,7.2,18.0,0.0,0.0,2018,3,4,1
3,Regular Season,Sun,2018-03-04,15.0,28,2,1,14,27837,BC Place,49.28,-123.11,0,1.2584538878842677,1,0,0,32.6,0.0,0.0,65.0,7.6,15.5,0.0,0.0,2018,3,4,1
4,Regular Season,Sat,2018-03-03,19.0,20,2,0,16,16452,Talen Energy Stadium,39.83,-75.38,0,0.8892972972972973,1,1,0,44.3,0.0,0.0,14.0,27.3,61.9,0.0,0.91,2018,3,3,1
5,Regular Season,Sat,2018-03-03,19.0,7,1,1,22,16116,Toyota Stadium,33.15,-96.84,0,0.7861463414634147,1,1,0,67.2,0.0,0.0,0.0,17.8,34.6,0.0,0.0,2018,3,3,1
6,Regular Season,Sat,2018-03-03,19.5,19,1,1,8,25527,Orlando City Stadium,28.54,-81.39,0,1.0010588235294118,1,1,0,71.7,0.0,0.0,0.0,15.4,35.6,0.0,0.0,2018,3,3,1
7,Regular Season,Sat,2018-03-03,19.5,23,3,2,12,18000,Avaya Stadium,37.35,-121.92,0,1.0,1,1,0,51.4,0.0,0.0,46.0,9.0,19.8,9.7,0.0,2018,3,3,1
8,Regular Season,Sun,2018-03-04,18.5,25,0,2,17,20831,Children's Mercy Park,39.12,-94.82,0,1.1280121297449504,1,0,0,53.4,0.0,0.0,100.0,23.0,47.9,0.0,0.0,2018,3,4,1
9,Regular Season,Sun,2018-03-04,19.0,10,2,1,21,25462,StubHub Center,33.86,-118.26,0,0.943037037037037,1,1,0,57.2,0.0,0.0,0.0,8.8,19.4,0.0,0.0,2018,3,4,1
10,Regular Season,Sat,2018-03-10,13.0,6,3,2,14,11098,MAPFRE Stadium,40.01,-82.99,0,0.5557892628205128,1,1,0,26.2,0.0,0.0,0.0,3.6,9.0,0.0,0.0,2018,3,10,1
11,Regular Season,Sat,2018-03-10,13.5,16,2,1,5,13305,Gillette Stadium,42.09,-71.26,0,0.66525,1,0,0,30.7,0.0,0.0,0.0,16.0,33.5,0.0,0.0,2018,3,10,1
12,Regular Season,Sat,2018-03-10,13.5,22,1,5,11,20706,Rio Tinto Stadium,40.58,-111.89,0,1.024390243902439,1,1,0,29.6,0.0,0.0,5.0,4.1,12.6,0.0,0.0,2018,3,10,1
13,Regular Season,Sat,2018-03-10,17.0,9,1,2,28,16082,BBVA Compass Stadium,29.75,-95.35,0,0.7297064295113208,1,1,0,70.2,0.0,0.0,55.0,10.9,28.1,1.4,0.0,2018,3,10,0
14,Regular Season,Sat,2018-03-10,17.0,3,3,4,25,14021,Toyota Park,41.76,-87.81,0,0.70105,1,0,0,36.6,0.0,0.0,0.0,8.0,25.9,0.0,0.0,2018,3,10,1
15,Regular Season,Sun,2018-03-11,15.0,0,3,1,8,72035,Mercedes-Benz Stadium,33.75,-84.4,0,1.6949411764705882,1,1,0,51.4,3.0,0.0,100.0,11.6,27.0,15.9,0.0,2018,3,11,1
16,Regular Season,Sun,2018-03-11,17.0,17,2,1,10,26221,Yankee Stadium,40.83,-73.93,0,0.8647801853500874,1,0,0,37.5,0.0,0.0,13.0,12.0,28.4,0.0,0.0,2018,3,11,1
17,Regular Season,Sat,2018-03-10,19.0,18,4,0,21,18374,Red Bull Arena,40.74,-74.15,0,0.73496,1,0,0,40.1,0.0,0.0,100.0,22.5,45.4,0.0,0.0,2018,3,10,1
18,Regular Season,Sat,2018-03-10,19.5,19,1,2,12,24038,Orlando City Stadium,28.54,-81.39,0,0.9426666666666668,1,0,0,74.4,0.0,0.0,50.0,9.9,25.2,0.0,0.0,2018,3,10,0
19,Regular Season,Sat,2018-03-17,13.0,12,2,1,3,23138,TCF Bank Stadium,44.98,-93.22,0,1.0567709522722082,1,0,0,22.0,0.0,0.0,0.0,10.0,14.4,0.0,0.0,2018,3,17,1
20,Regular Season,Sat,2018-03-17,13.5,8,2,2,9,5128,Maureen Hendricks Field at Maryland Socc...,39.15,-77.31,0,1.0256,1,0,0,33.1,0.0,0.0,4.0,5.8,19.4,0.0,0.0,2018,3,17,1
21,Regular Season,Sat,2018-03-17,14.0,20,0,0,6,15323,Talen Energy Stadium,39.83,-75.38,0,0.8282702702702702,1,1,0,34.7,0.0,0.0,0.0,12.7,31.7,0.0,0.0,2018,3,17,0
22,Regular Season,Sat,2018-03-17,15.0,14,1,0,27,26005,Olympic Stadium,45.56,-73.55,0,0.4262835223919743,1,1,1,13.7,0.0,0.0,99.0,25.0,42.5,0.0,0.07,2018,3,17,1
23,Regular Season,Sat,2018-03-17,15.5,17,2,0,19,18584,Yankee Stadium,40.83,-73.93,0,0.612908545232677,1,1,0,33.6,0.0,0.0,0.0,20.2,40.0,0.0,0.0,2018,3,17,0
24,Regular Season,Sat,2018-03-17,19.5,0,4,1,28,45003,Mercedes-Benz Stadium,33.75,-84.4,0,1.0588941176470588,1,0,0,68.4,0.0,0.0,100.0,19.4,45.4,4.8,0.0,2018,3,17,0
25,Regular Season,Sun,2018-03-18,16.0,7,3,0,24,13310,Toyota Stadium,33.15,-96.84,0,0.6492682926829269,1,1,0,61.9,0.1,0.0,100.0,7.1,19.8,16.2,0.0,2018,3,18,0
26,Regular Season,Sat,2018-03-17,19.0,22,1,0,18,16334,Rio Tinto Stadium,40.58,-111.89,0,0.8080938010191461,1,0,0,41.8,0.1,0.0,88.0,4.3,20.9,1.3000000000000005,0.28,2018,3,17,0
27,Regular Season,Sat,2018-03-17,19.5,25,3,2,23,18868,Children's Mercy Park,39.12,-94.82,0,1.0217144094871933,1,1,0,43.1,0.0,0.0,90.0,11.7,29.5,0.1,0.0,2018,3,17,0
28,Regular Season,Sat,2018-03-24,13.5,16,2,2,17,12376,Gillette Stadium,42.09,-71.26,0,0.6188,1,1,0,33.3,0.0,0.0,29.0,9.3,24.1,0.0,0.0,2018,3,24,0
29,Regular Season,Sat,2018-03-24,14.5,7,1,1,21,13851,Toyota Stadium,33.15,-96.84,0,0.6756585365853659,1,1,0,66.0,0.0,0.0,8.0,17.9,34.2,0.0,0.0,2018,3,24,0
30,Regular Season,Sat,2018-03-24,18.0,6,3,1,8,8443,MAPFRE Stadium,40.01,-82.99,0,0.4228265224358974,1,1,0,40.7,0.0,0.0,61.0,13.3,30.2,0.0,0.0,2018,3,24,0
31,Regular Season,Sat,2018-03-24,19.0,18,3,0,12,14768,Red Bull Arena,40.74,-74.15,0,0.59072,1,0,0,48.3,0.0,0.0,63.0,15.0,32.0,0.0,0.0,2018,3,24,0
32,Regular Season,Sat,2018-03-24,19.0,5,2,2,25,17424,Dick's Sporting Goods Park,39.81,-104.89,0,0.9647306350700404,1,1,0,62.1,0.0,0.0,7.0,15.3,35.3,0.0,0.0,2018,3,24,1
33,Regular Season,Sat,2018-03-24,19.0,28,0,0,10,22120,BC Place,49.28,-123.11,0,1.0,1,1,0,41.9,0.2,0.0,100.0,3.6,18.7,2.6,0.0,2018,3,24,0
34,Regular Season,Sat,2018-03-31,12.0,10,4,3,11,27068,StubHub Center,33.86,-118.26,0,1.0025185185185186,1,1,1,55.7,0.0,0.0,83.0,2.3,7.6,0.0,0.0,2018,3,31,0
35,Regular Season,Sat,2018-03-31,13.0,19,4,3,18,23257,Orlando City Stadium,28.54,-81.39,0,0.9120392156862746,1,1,0,63.7,0.0,0.0,95.0,13.6,28.4,8.0,0.0,2018,3,31,0
36,Regular Season,Sat,2018-03-31,15.0,6,1,2,28,8992,MAPFRE Stadium,40.01,-82.99,0,0.4503205128205128,1,0,0,47.6,0.0,0.0,30.0,17.4,35.3,0.0,0.0,2018,3,31,0
37,Regular Season,Sat,2018-03-31,17.0,3,2,2,21,13678,Toyota Park,41.76,-87.81,0,0.6839,1,0,0,50.1,0.0,0.0,100.0,34.2,67.0,1.5000000000000002,0.0,2018,3,31,0
38,Regular Season,Fri,2018-03-30,20.0,27,3,1,22,28006,BMO Field,43.63,-79.42,0,0.9335333333333332,1,0,0,40.8,0.0,0.0,89.0,19.4,41.0,7.7,0.0,2018,3,30,0
39,Regular Season,Sat,2018-03-31,17.0,23,1,2,17,18000,Avaya Stadium,37.35,-121.92,0,1.0,1,0,0,69.6,0.0,0.0,30.0,4.8,9.0,0.0,0.0,2018,3,31,0
40,Regular Season,Sat,2018-03-31,19.0,12,0,1,0,18057,TCF Bank Stadium,44.98,-93.22,0,0.824708837634163,1,0,0,25.5,0.0,0.0,92.0,22.7,49.3,0.9,4.2,2018,3,31,0
41,Regular Season,Sat,2018-03-31,19.0,24,0,1,14,39469,CenturyLink Field,47.6,-122.33,0,1.001268423856516,1,0,0,49.5,0.0,0.0,86.0,5.1,16.6,0.1,0.0,2018,3,31,0
42,Regular Season,Sat,2018-03-31,19.0,5,3,0,20,10790,Dick's Sporting Goods Park,39.81,-104.89,0,0.5974198549360501,1,0,0,52.8,0.0,0.0,42.0,15.6,33.8,0.0,0.0,2018,3,31,0
43,Regular Season,Sat,2018-03-31,19.5,25,1,0,8,18624,Children's Mercy Park,39.12,-94.82,0,1.0085016515947365,1,0,0,56.6,0.0,0.0,47.0,23.0,48.6,0.6000000000000001,0.0,2018,3,31,0
44,Regular Season,Sat,2018-03-31,19.5,9,0,2,16,17156,BBVA Compass Stadium,29.75,-95.35,0,0.7784382231498707,1,0,0,75.5,0.0,0.0,27.0,16.6,34.9,0.0,0.0,2018,3,31,0
45,Regular Season,Fri,2018-04-06,19.5,16,4,0,14,10908,Gillette Stadium,42.09,-71.26,0,0.5454,1,1,0,34.7,0.2,0.91,100.0,19.2,44.3,0.4,0.63,2018,4,6,0
46,Regular Season,Sat,2018-04-07,17.0,0,5,0,11,45207,Mercedes-Benz Stadium,33.75,-84.4,0,1.063694117647059,1,0,0,58.6,0.0,0.0,97.0,12.8,26.6,12.2,0.0,2018,4,7,0
47,Regular Season,Sat,2018-04-07,19.0,20,1,1,23,14795,Talen Energy Stadium,39.83,-75.38,0,0.7997297297297298,1,0,0,44.2,0.0,0.0,66.0,8.8,25.6,0.0,0.0,2018,4,7,0
48,Regular Season,Sun,2018-04-08,16.0,19,3,2,21,22337,Orlando City Stadium,28.54,-81.39,0,0.8759607843137255,1,0,0,73.4,0.0,0.0,93.0,7.8,22.3,6.1,0.0,2018,4,8,0
49,Regular Season,Sat,2018-04-07,19.0,7,1,1,5,13147,Toyota Stadium,33.15,-96.84,0,0.6413170731707317,1,1,0,35.8,0.0,0.0,100.0,21.7,42.1,0.0,0.0,2018,4,7,0
50,Regular Season,Sat,2018-04-07,19.5,3,1,0,6,11023,Toyota Park,41.76,-87.81,0,0.55115,1,1,0,34.8,0.0,0.0,49.0,12.4,28.8,0.0,0.0,2018,4,7,0
51,Regular Season,Sat,2018-04-07,19.5,22,2,1,28,16015,Rio Tinto Stadium,40.58,-111.89,0,0.7923118784940385,1,1,0,53.2,1.7,0.0,100.0,3.4,17.3,3.8,0.0,2018,4,7,0
52,Regular Season,Sun,2018-04-08,18.0,10,0,2,25,25846,StubHub Center,33.86,-118.26,0,0.9572592592592593,1,1,0,70.6,0.0,0.0,27.0,11.0,21.2,0.0,0.0,2018,4,8,0
53,Regular Season,Wed,2018-04-11,19.0,17,4,0,22,18603,Yankee Stadium,40.83,-73.93,0,0.6135351736420303,1,0,0,48.4,0.0,0.0,60.0,12.7,23.0,0.0,0.0,2018,4,11,0
54,Regular Season,Sat,2018-04-14,13.0,18,3,1,14,15017,Red Bull Arena,40.74,-74.15,0,0.60068,1,1,0,63.2,0.0,0.0,10.0,5.3,16.6,0.0,0.0,2018,4,14,0
55,Regular Season,Sat,2018-04-14,13.0,5,2,0,27,11232,Dick's Sporting Goods Park,39.81,-104.89,0,0.6218924754996955,1,0,0,33.4,0.0,0.0,5.0,20.6,29.9,0.0,0.0,2018,4,14,0
56,Regular Season,Sat,2018-04-14,14.5,3,0,1,10,21915,Toyota Park,41.76,-87.81,0,1.09575,1,0,0,37.9,0.2,0.0,100.0,35.4,61.2,23.2,0.0,2018,4,14,0
57,Regular Season,Sat,2018-04-14,19.0,8,1,0,6,12396,Navy–Marine Corps Memorial Stadium,38.98,-76.51,0,0.3645882352941176,1,1,0,75.2,0.0,0.0,5.0,21.0,39.6,0.0,0.0,2018,4,14,0
58,Regular Season,Fri,2018-04-13,19.0,28,0,2,11,22120,BC Place,49.28,-123.11,0,1.0,1,1,0,44.3,1.6,0.0,100.0,20.6,36.0,9.999999999999998,0.0,2018,4,13,0
59,Regular Season,Sat,2018-04-14,19.5,16,0,1,7,11508,Gillette Stadium,42.09,-71.26,0,0.5754,1,0,0,51.1,0.0,0.0,25.0,17.7,44.6,0.0,0.0,2018,4,14,0
60,Regular Season,Fri,2018-04-13,20.0,20,0,2,19,16032,Talen Energy Stadium,39.83,-75.38,0,0.8665945945945946,1,1,0,77.8,0.0,0.0,0.0,18.1,41.4,0.0,0.0,2018,4,13,0
61,Regular Season,Sun,2018-04-15,15.0,25,2,2,24,18508,Children's Mercy Park,39.12,-94.82,0,1.0022201765311096,1,1,0,29.7,0.0,0.0,94.0,28.3,58.3,0.2,0.49,2018,4,15,0
62,Regular Season,Sun,2018-04-15,18.0,0,2,2,17,45001,Mercedes-Benz Stadium,33.75,-84.4,0,1.0588470588235297,1,1,0,54.1,0.0,0.0,100.0,13.8,46.8,37.2,0.0,2018,4,15,0
63,Regular Season,Sat,2018-04-14,19.5,21,3,2,12,21144,Providence Park,45.52,-122.69,0,1.0,1,1,0,54.3,0.2,0.0,100.0,18.5,44.3,4.5,0.0,2018,4,14,1
64,Regular Season,Sat,2018-04-14,19.5,23,2,2,9,17822,Avaya Stadium,37.35,-121.92,0,0.9901111111111112,1,1,0,69.9,0.0,0.0,0.0,14.0,19.1,0.0,0.0,2018,4,14,0
65,Regular Season,Sat,2018-04-21,13.0,14,3,5,11,20302,Stade Saputo,45.56,-73.55,0,0.9760107687130426,1,0,0,38.8,0.0,0.0,0.0,10.9,25.6,0.0,0.0,2018,4,21,0
66,Regular Season,Sat,2018-04-21,14.0,9,5,1,27,17109,BBVA Compass Stadium,29.75,-95.35,0,0.776305640001815,1,0,0,66.9,0.1,0.0,100.0,14.2,28.1,0.0,0.0,2018,4,21,0
67,Regular Season,Sat,2018-04-21,15.5,18,1,2,3,18784,Red Bull Arena,40.74,-74.15,0,0.75136,1,1,0,53.4,0.0,0.0,25.0,11.0,27.4,0.0,0.0,2018,4,21,0
68,Regular Season,Sat,2018-04-21,19.5,19,3,2,23,25527,Orlando City Stadium,28.54,-81.39,0,1.0010588235294118,1,0,0,79.7,0.0,0.0,39.0,20.9,41.4,0.0,0.0,2018,4,21,0
69,Regular Season,Sat,2018-04-21,19.5,6,2,2,16,11264,MAPFRE Stadium,40.01,-82.99,0,0.5641025641025641,1,1,0,55.8,0.0,0.0,80.0,5.9,17.6,0.0,0.0,2018,4,21,0
70,Regular Season,Fri,2018-04-20,20.0,25,6,0,28,19690,Children's Mercy Park,39.12,-94.82,0,1.0662262414035848,1,1,0,59.4,0.0,0.0,32.0,17.2,38.5,0.0,0.0,2018,4,20,0
71,Regular Season,Sun,2018-04-22,13.0,24,3,1,12,39477,CenturyLink Field,47.6,-122.33,0,1.0014713716735584,1,1,0,40.4,0.0,0.0,43.0,5.1,11.5,1.1,0.0,2018,4,22,0
72,Regular Season,Sun,2018-04-22,15.0,21,3,0,17,21144,Providence Park,45.52,-122.69,0,1.0,1,0,0,43.6,0.0,0.0,26.0,6.1,13.7,0.0,0.0,2018,4,22,0
73,Regular Season,Sat,2018-04-21,19.0,7,2,0,20,13326,Toyota Stadium,33.15,-96.84,0,0.6500487804878049,1,0,0,62.9,4.3,0.0,100.0,5.9,34.2,9.5,0.0,2018,4,21,0
74,Regular Season,Sat,2018-04-21,19.0,22,3,0,5,17461,Rio Tinto Stadium,40.58,-111.89,0,0.8638499975263444,1,1,1,61.3,0.0,0.0,0.0,6.9,21.6,0.0,0.0,2018,4,21,0
75,Regular Season,Sat,2018-04-21,19.5,10,0,2,0,25846,StubHub Center,33.86,-118.26,0,0.9572592592592593,1,0,0,79.9,0.0,0.0,15.0,9.8,19.4,0.0,0.0,2018,4,21,0
76,Regular Season,Sat,2018-04-28,13.0,0,4,1,14,45039,Mercedes-Benz Stadium,33.75,-84.4,0,1.0597411764705882,1,1,0,58.2,0.0,0.0,0.0,7.8,19.8,0.0,0.0,2018,4,28,0
77,Regular Season,Sat,2018-04-28,15.0,27,2,2,3,26331,BMO Field,43.63,-79.42,0,0.8777,1,1,0,42.1,0.2,0.0,100.0,16.1,29.5,0.1,0.0,2018,4,28,0
78,Regular Season,Sat,2018-04-28,15.5,20,3,2,8,16493,Talen Energy Stadium,39.83,-75.38,0,0.8915135135135135,1,1,0,66.6,0.0,0.0,8.0,8.2,23.0,0.0,0.0,2018,4,28,0
79,Regular Season,Sat,2018-04-28,19.5,16,1,0,25,17015,Gillette Stadium,42.09,-71.26,0,0.85075,1,0,0,70.2,0.0,0.0,6.0,13.8,36.7,0.0,0.0,2018,4,28,0
80,Regular Season,Sat,2018-04-28,19.5,6,2,1,23,11479,MAPFRE Stadium,40.01,-82.99,0,0.5748697916666666,1,0,0,50.7,0.0,0.0,64.0,20.0,42.1,0.2,0.0,2018,4,28,0
81,Regular Season,Fri,2018-04-27,19.5,28,2,0,22,19283,BC Place,49.28,-123.11,0,0.871745027124774,1,1,0,63.1,0.0,0.0,2.0,10.5,27.7,0.0,0.0,2018,4,27,0
82,Regular Season,Sun,2018-04-29,14.0,5,1,2,19,15702,Dick's Sporting Goods Park,39.81,-104.89,0,0.8693870771275123,1,0,0,55.0,0.0,0.0,24.0,9.2,21.6,0.0,0.0,2018,4,29,0
83,Regular Season,Sun,2018-04-29,18.5,17,3,1,7,22115,Yankee Stadium,40.83,-73.93,0,0.7293624880445896,1,0,0,56.7,0.0,0.0,64.0,18.2,37.4,1.2000000000000002,0.0,2018,4,29,0
84,Regular Season,Sat,2018-04-28,19.0,12,2,1,9,21574,TCF Bank Stadium,44.98,-93.22,0,0.98533911852021,1,1,0,53.5,0.0,0.0,38.0,5.8,20.9,0.0,0.0,2018,4,28,0
85,Regular Season,Sat,2018-04-28,19.5,10,2,3,18,26704,StubHub Center,33.86,-118.26,0,0.989037037037037,1,0,0,68.7,0.0,0.0,4.0,15.6,27.7,0.0,0.0,2018,4,28,0
86,Regular Season,Sun,2018-04-29,18.0,11,1,0,24,22000,Banc of California Stadium,34.01,-118.28,0,1.0,1,1,0,65.4,0.0,0.0,70.0,8.7,23.8,0.0,0.0,2018,4,29,1
87,Regular Season,Sat,2018-05-05,12.916666666666666,11,1,1,7,22000,Banc of California Stadium,34.01,-118.28,0,1.0,1,1,0,58.9,0.0,0.0,6.0,3.0,9.7,0.0,0.0,2018,5,5,0
88,Regular Season,Sat,2018-05-05,13.0,12,1,0,28,19642,TCF Bank Stadium,44.98,-93.22,0,0.8970997944736241,1,1,0,55.0,0.0,0.0,17.0,5.7,9.7,0.0,0.0,2018,5,5,0
89,Regular Season,Sat,2018-05-05,13.0,24,0,0,6,39515,CenturyLink Field,47.6,-122.33,0,1.0024353738045104,1,0,0,46.0,0.0,0.0,35.0,7.4,13.7,0.0,0.0,2018,5,5,0
90,Regular Season,Sat,2018-05-05,13.0,14,4,2,16,15622,Stade Saputo,45.56,-73.55,0,0.7510215855006971,1,1,0,48.7,0.0,0.0,55.0,20.3,40.3,0.8,0.0,2018,5,5,0
91,Regular Season,Sat,2018-05-05,13.916666666666666,18,4,0,17,25219,Red Bull Arena,40.74,-74.15,0,1.00876,1,1,1,62.4,0.0,0.0,29.0,13.3,31.3,0.0,0.0,2018,5,5,0
92,Regular Season,Fri,2018-05-04,20.0,27,3,0,20,24728,BMO Field,43.63,-79.42,0,0.8242666666666667,1,1,0,66.4,0.2,0.0,47.0,42.2,83.2,9.9,0.0,2018,5,4,0
93,Regular Season,Sun,2018-05-06,17.0,19,3,1,22,23258,Orlando City Stadium,28.54,-81.39,0,0.9120784313725492,1,0,0,78.1,4.0,0.0,100.0,8.0,21.2,1.4,0.0,2018,5,6,0
94,Regular Season,Sat,2018-05-05,19.5,3,1,2,0,15024,Toyota Park,41.76,-87.81,0,0.7512,1,1,0,76.8,0.0,0.0,18.0,10.6,24.8,0.0,0.0,2018,5,5,0
95,Regular Season,Sat,2018-05-05,19.5,9,3,2,10,22320,BBVA Compass Stadium,29.75,-95.35,0,1.012750124778801,1,1,0,77.9,0.0,0.0,69.0,10.7,25.6,6.699999999999999,0.0,2018,5,5,0
96,Regular Season,Sat,2018-05-05,19.5,25,1,0,5,20553,Children's Mercy Park,39.12,-94.82,0,1.1129582498510855,1,1,0,78.9,0.0,0.0,10.0,5.8,22.3,0.0,0.0,2018,5,5,0
97,Regular Season,Sat,2018-05-05,19.5,23,0,1,21,17850,Avaya Stadium,37.35,-121.92,0,0.9916666666666668,1,1,0,72.4,0.0,0.0,29.0,11.5,15.5,0.0,0.0,2018,5,5,0
98,Regular Season,Wed,2018-05-09,19.5,0,0,2,25,44696,Mercedes-Benz Stadium,33.75,-84.4,0,1.051670588235294,1,0,0,78.7,0.0,0.0,23.0,2.0,12.6,0.0,0.0,2018,5,9,0
99,Regular Season,Wed,2018-05-09,19.5,6,1,0,20,7683,MAPFRE Stadium,40.01,-82.99,0,0.384765625,1,1,0,79.0,0.0,0.0,34.0,20.8,43.2,0.0,0.0,2018,5,9,0
100,Regular Season,Wed,2018-05-09,19.5,27,1,2,24,26089,BMO Field,43.63,-79.42,0,0.8696333333333334,1,0,0,56.8,0.0,0.0,28.0,14.8,32.8,0.0,0.0,2018,5,9,0
101,Regular Season,Wed,2018-05-09,19.0,11,2,0,12,22000,Banc of California Stadium,34.01,-118.28,0,1.0,1,1,0,76.6,0.0,0.0,5.0,10.2,26.6,0.0,0.0,2018,5,9,0
102,Regular Season,Wed,2018-05-09,19.5,3,1,0,14,10067,Toyota Park,41.76,-87.81,0,0.50335,1,1,0,74.7,0.2,0.0,100.0,26.0,49.3,5.1,0.0,2018,5,9,0
103,Regular Season,Sat,2018-05-12,13.0,12,1,3,23,19721,TCF Bank Stadium,44.98,-93.22,0,0.9007079241836036,1,1,0,45.4,0.0,0.0,46.0,4.7,18.7,0.0,0.0,2018,5,12,0
104,Regular Season,Sat,2018-05-12,14.5,7,3,2,10,18355,Toyota Stadium,33.15,-96.84,0,0.8953658536585366,1,1,0,74.7,0.0,0.0,54.0,23.6,50.0,0.0,0.0,2018,5,12,0
105,Regular Season,Sat,2018-05-12,15.0,14,0,2,20,17140,Stade Saputo,45.56,-73.55,0,0.8239988462093168,1,1,0,55.2,0.0,0.0,1.0,6.3,16.2,0.0,0.0,2018,5,12,0
106,Regular Season,Sat,2018-05-12,19.5,6,3,0,3,11108,MAPFRE Stadium,40.01,-82.99,0,0.5562900641025641,1,1,0,79.8,0.0,0.0,65.0,17.0,42.1,1.1,0.0,2018,5,12,0
107,Regular Season,Sat,2018-05-12,19.5,16,3,2,27,19596,Gillette Stadium,42.09,-71.26,0,0.9798,1,1,0,51.7,0.1,0.0,100.0,2.9,10.4,3.0,0.0,2018,5,12,0
108,Regular Season,Fri,2018-05-11,19.5,28,2,2,9,18813,BC Place,49.28,-123.11,0,0.850497287522604,1,1,0,59.2,0.0,0.0,86.0,5.4,17.3,0.0,0.0,2018,5,11,0
109,Regular Season,Sun,2018-05-13,13.0,21,1,0,24,21144,Providence Park,45.52,-122.69,0,1.0,1,1,1,53.9,0.0,0.0,2.0,1.6,7.9,0.0,0.0,2018,5,13,0
110,Regular Season,Sun,2018-05-13,18.0,19,1,2,0,24232,Orlando City Stadium,28.54,-81.39,0,0.9502745098039216,1,1,0,77.3,7.8,0.0,100.0,11.4,33.8,0.0,0.0,2018,5,13,0
111,Regular Season,Sat,2018-05-12,19.0,22,3,2,8,16961,Rio Tinto Stadium,40.58,-111.89,0,0.8391134418443575,1,0,0,48.1,0.4,0.0,87.0,9.4,34.6,14.900000000000002,0.0,2018,5,12,0
112,Regular Season,Sat,2018-05-12,19.0,5,1,2,18,15691,Dick's Sporting Goods Park,39.81,-104.89,0,0.8687780300094126,1,0,0,58.4,0.2,0.0,100.0,9.1,23.8,3.3,0.0,2018,5,12,0
113,Regular Season,Sun,2018-05-13,17.5,11,2,2,17,22000,Banc of California Stadium,34.01,-118.28,0,1.0,1,0,0,60.2,0.1,0.0,100.0,10.5,22.7,0.1,0.0,2018,5,13,0
114,Regular Season,Wed,2018-05-16,19.5,28,2,2,23,17357,BC Place,49.28,-123.11,0,0.7846745027124774,1,1,0,60.4,0.0,0.0,82.0,8.8,25.9,0.0,0.0,2018,5,16,0
115,Regular Season,Sat,2018-05-19,12.0,21,2,1,11,21144,Providence Park,45.52,-122.69,0,1.0,1,1,0,50.9,0.0,0.0,100.0,3.6,11.9,0.0,0.0,2018,5,19,0
116,Regular Season,Sat,2018-05-19,13.0,17,4,0,5,21494,Yankee Stadium,40.83,-73.93,0,0.7088816331915174,1,0,0,51.4,0.5,0.0,100.0,16.7,32.0,5.9,0.0,2018,5,19,0
117,Regular Season,Sat,2018-05-19,15.0,7,2,2,28,13907,Toyota Stadium,33.15,-96.84,0,0.6783902439024391,1,1,0,78.3,0.0,0.0,12.0,23.8,42.1,0.0,0.0,2018,5,19,0
118,Regular Season,Sat,2018-05-19,19.5,20,4,1,22,16019,Talen Energy Stadium,39.83,-75.38,0,0.8658918918918919,1,0,0,62.7,0.4,0.0,100.0,6.6,20.5,19.5,0.0,2018,5,19,0
119,Regular Season,Sat,2018-05-19,19.5,16,0,1,6,14087,Gillette Stadium,42.09,-71.26,0,0.70435,1,1,0,52.5,0.3,0.0,100.0,11.5,28.4,1.0,0.0,2018,5,19,0
120,Regular Season,Fri,2018-05-18,20.0,27,2,1,19,28009,BMO Field,43.63,-79.42,0,0.9336333333333332,1,1,0,53.3,0.0,0.0,29.0,21.0,45.7,0.0,0.0,2018,5,18,0
121,Regular Season,Sun,2018-05-20,13.0,12,1,1,25,23117,TCF Bank Stadium,44.98,-93.22,0,1.0558118291847454,1,1,0,47.9,0.0,0.0,26.0,14.2,29.9,0.0,0.0,2018,5,20,0
122,Regular Season,Sun,2018-05-20,15.0,3,2,3,9,14206,Toyota Park,41.76,-87.81,0,0.7103,1,0,0,49.0,0.2,0.0,100.0,19.3,36.0,1.1,0.0,2018,5,20,0
123,Regular Season,Sun,2018-05-20,19.0,0,1,3,18,45089,Mercedes-Benz Stadium,33.75,-84.4,0,1.0609176470588235,1,1,0,80.8,0.7,0.0,38.0,6.7,21.6,0.0,0.0,2018,5,20,0
124,Regular Season,Sat,2018-05-19,19.5,23,1,3,8,17644,Avaya Stadium,37.35,-121.92,0,0.9802222222222222,1,0,0,62.1,0.0,0.0,58.0,19.4,27.4,0.0,0.0,2018,5,19,0
125,Regular Season,Mon,2018-05-21,15.0,14,0,1,10,20801,Stade Saputo,45.56,-73.55,0,1.0,1,0,0,64.5,0.0,0.0,0.0,20.3,38.5,0.0,0.0,2018,5,21,0
